Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Bicycling,Berbasikal,骑自行车,Đạp xe,1003,14,"Bicycling, mountain, uphill, vigorous","Berbasikal, gunung, mendaki, tenaga tinggi  ",骑自行车，山地，上坡，剧烈,"Đạp xe đạp leo núi, lên dốc, cường độ mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1004,16,"Bicycling, mountain, competitive racing","Berbasikal, gunung, perlumbaan kompetitif  ",骑自行车，山地，竞技比赛,"Đạp xe đạp leo núi, đua tranh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1008,8.5,"Bicycling, BMX","Berbasikal, BMX  ",骑自行车，BMX,Đạp xe BMX
Bicycling,Berbasikal,骑自行车,Đạp xe,1009,8.5,"Bicycling, mountain, general","Berbasikal, gunung, umum  ",骑自行车，山地，一般,"Đạp xe đạp leo núi, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1010,4,"Bicycling, <10 mph, leisure, to work or for pleasure (Taylor Code 115)","Berbasikal, <10 mph, santai, untuk kerja atau untuk keseronokan (Kod Taylor 115)  ",骑自行车，<10英里/小时，休闲，用于上班或娱乐（Taylor代码115）,"Đạp xe đạp, <10 mph, thư giãn, đi làm hoặc giải trí (Mã Taylor 115)"
Bicycling,Berbasikal,骑自行车,Đạp xe,1011,6.8,"Bicycling, to/from work, self selected pace","Berbasikal, pergi/ balik ke kerja, kadar sendiri  ",骑自行车，往返上班，自选速度,"Đạp xe đạp đi/đến nơi làm việc, tốc độ tự chọn"
Bicycling,Berbasikal,骑自行车,Đạp xe,1013,5.8,"Bicycling, on dirt or farm road, moderate pace","Berbasikal, di jalan tanah atau ladang, kadar sederhana  ",骑自行车，在土路或农场道路，中等速度,"Đạp xe đạp trên đường đất hoặc đường nông trại, tốc độ vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1014,7,"Bicycling, general","Berbasikal, umum  ",骑自行车，一般,"Đạp xe đạp, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1015,4.3,"Bicycling, self-selected easy pace","Berbasikal, kadar santai sendiri  ",骑自行车，自选轻松速度,"Đạp xe đạp, tốc độ tự chọn dễ dàng"
Bicycling,Berbasikal,骑自行车,Đạp xe,1016,7,"Bicycling, self-selected moderate pace","Berbasikal, kadar sederhana sendiri  ",骑自行车，自选中等速度,"Đạp xe đạp, tốc độ tự chọn vừa phải"
Bicycling,Berbasikal,骑自行车,Đạp xe,1017,9,"Bicycling, self-selected vigorous pace","Berbasikal, kadar tenaga tinggi sendiri  ",骑自行车，自选剧烈速度,"Đạp xe đạp, tốc độ tự chọn mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1018,3.5,"Bicycling, leisure 5.5 mph","Berbasikal, rekreasi 5.5 mph  ",骑自行车，休闲，5.5英里/小时,"Đạp xe đạp, thư giãn 5,5 mph"
Bicycling,Berbasikal,骑自行车,Đạp xe,1019,5.8,"Bicycling, leisure, 9.4 mph","Berbasikal, rekreasi, 9.4 mph  ",骑自行车，休闲，9.4英里/小时,"Đạp xe đạp, thư giãn, 9,4 mph"
Bicycling,Berbasikal,骑自行车,Đạp xe,1020,6.8,"Bicycling, 10-11.9 mph, leisure, slow, light effort","Berbasikal, 10–11.9 mph, rekreasi, perlahan, usaha ringan  ",骑自行车，10-11.9英里/小时，休闲，慢，轻度用力,"Đạp xe đạp, 10-11,9 mph, thư giãn, chậm, nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1030,8,"Bicycling, 12-13.9 mph, leisure, moderate effort","Berbasikal, 12–13.9 mph, rekreasi, usaha sederhana  ",骑自行车，12-13.9英里/小时，休闲，中度用力,"Đạp xe đạp, 12-13,9 mph, thư giãn, vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1040,10,"Bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort","Berbasikal, 14–15.9 mph, perlumbaan atau rekreasi, pantas, usaha tenaga tinggi  ",骑自行车，14-15.9英里/小时，比赛或休闲，快，剧烈用力,"Đạp xe đạp, 14-15,9 mph, đua hoặc thư giãn, nhanh, mạnh"
Bicycling,Berbasikal,骑自行车,Đạp xe,1050,12,"Bicycling, 16-19 mph, racing/not drafting or >19 mph drafting, very fast, racing general","Berbasikal, 16–19 mph, perlumbaan/tak mencelah atau >19 mph mencelah, sangat laju, perlumbaan am  ",骑自行车，16-19英里/小时，比赛/不跟车或>19英里/小时跟车，非常快，一般比赛,"Đạp xe đạp, 16-19 mph, đua/không theo sau hoặc >19 mph theo sau, rất nhanh, đua chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1060,16.8,"Bicycling, >20 mph, racing, not drafting","Berbasikal, >20 mph, perlumbaan, tidak mencelah  ",骑自行车，>20英里/小时，比赛，不跟车,"Đạp xe đạp, >20 mph, đua, không theo sau"
Bicycling,Berbasikal,骑自行车,Đạp xe,1065,8.5,"Bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm","Berbasikal, 12 mph, duduk, tangan di tuas brek atau bar bawah, 80 rpm  ",骑自行车，12英里/小时，坐姿，手放在刹车把或下把，80转/分钟,"Đạp xe đạp, 12 mph, ngồi, tay trên tay phanh hoặc thanh, 80 vòng/phút"
Bicycling,Berbasikal,骑自行车,Đạp xe,1066,9,"Bicycling, 12 mph, standing, hands on brake hoods, 60 rpm","Berbasikal, 12 mph, berdiri, tangan di tuas brek, 60 rpm  ",骑自行车，12英里/小时，站姿，手放在刹车把，60转/分钟,"Đạp xe đạp, 12 mph, đứng, tay trên tay phanh, 60 vòng/phút"
Bicycling,Berbasikal,骑自行车,Đạp xe,1070,5,Unicycling,Unisepeda,独轮车,Xe đạp một bánh
Bicycling,Berbasikal,骑自行车,Đạp xe,1080,6.8,E-bike (electrically assisted) without electronic support,E-basikal (dengan bantuan elektrik) tanpa sokongan elektronik,电动辅助自行车，无电子辅助,Xe đạp điện (hỗ trợ điện) không hỗ trợ điện tử
Bicycling,Berbasikal,骑自行车,Đạp xe,1084,6,E-bike (electrically assisted) with light electronic support,E-basikal (dengan bantuan elektrik) dengan sokongan elektronik ringan,电动辅助自行车，轻度电子辅助,Xe đạp điện (hỗ trợ điện) với hỗ trợ điện nhẹ
Bicycling,Berbasikal,骑自行车,Đạp xe,1088,4,E-bike (electrically assisted) with high electronic support,E-basikal (dengan bantuan elektrik) dengan sokongan elektronik tinggi,电动辅助自行车，高度电子辅助,Xe đạp điện (hỗ trợ điện) với hỗ trợ điện cao
Bicycling,Berbasikal,骑自行车,Đạp xe,1200,6.8,"Bicycling, stationary, general","Berbasikal, statik, umum  ",动感单车，一般,"Đạp xe tại chỗ, chung"
Bicycling,Berbasikal,骑自行车,Đạp xe,1210,3.5,"Bicycling, stationary, 25-30 watts, very light to light effort","Berbasikal, statik, 25–30 watt, sangat ringan hingga ringan  ",动感单车，25-30瓦，非常轻至轻度,"Đạp xe tại chỗ, 25-30 watt, rất nhẹ đến nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1214,4,"Bicycling, stationary, 50 watts, light effort","Berbasikal, statik, 50 watt, usaha ringan  ",动感单车，50瓦，轻度,"Đạp xe tại chỗ, 50 watt, nhẹ"
Bicycling,Berbasikal,骑自行车,Đạp xe,1216,5,"Bicycling, stationary, 60 watts, light to moderate effort","Berbasikal, statik, 60 watt, usaha ringan ke sederhana  ",动感单车，60瓦，轻至中度,"Đạp xe tại chỗ, 60 watt, nhẹ đến vừa"
Bicycling,Berbasikal,骑自行车,Đạp xe,1218,5.8,"Bicycling, stationary, 70-80 watts","Berbasikal, statik, 70–80 watt  ",动感单车，70-80瓦,"Đạp xe tại chỗ, 70-80 watt"
